Child Age At Placement,Child Gender,Child Ethnicity,Child Prior Placements Number,Returning Child,Age Child Left Care,Carer Age,Placement Type,Missing Episodes,Placement Sequence Number,Placement Start Date,Placement End Reason,Placement Time Period (days),Number Of Carers,Carer Gender Composition,Placed With Siblings,Emergency Placement,Distance From Home (miles),Placement Planning Meeting,Reason For Leaving Care,Sibling Group Size,Previous Care History,Age Child Came Into Care,Residential Home Type,Carer Ethnicity Or Religion,Carer Type,EH involvement,Siblings In EH,YOT involvement
16,Trans Female,White - British,0,FALSE,18,35,Residential,2,1,23/10/2024 00:00,N/A,72,1,Female,TRUE,TRUE,34.05,FALSE,N/A,3,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Residential,TRUE,FALSE,FALSE
0,Male,White - British,0,FALSE,9,35,Kinship,1,1,20/06/2025 00:00,N/A,533,1,Female,TRUE,TRUE,2.38,FALSE,N/A,2,N/A,0,including Mainstream,Mixed - Other,Kinship,TRUE,TRUE,TRUE
0,Female,Asian/British Asian - Pakistani,0,FALSE,15,46,Kinship,2,1,21/01/2025 00:00,N/A,187,1,Male,TRUE,TRUE,0.37,FALSE,N/A,0,N/A,0,including Mainstream,Other Ethnic Group,Kinship,FALSE,FALSE,FALSE
8,Male,Asian/British Asian - Pakistani,0,TRUE,16,32,Fostering - Short Term,5,1,23/04/2025 00:00,Carer requests placement end due to child's behaviour,397,1,Trans Female,TRUE,TRUE,3.21,FALSE,Why the child left care entirely,2,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Black Caribbean,Kinship,FALSE,TRUE,FALSE
12,Female,White - British,0,TRUE,16,66,Fostering - Short Term,6,1,24/02/2024 00:00,Carer requests placement end due to child's behaviour,98,1,Female,TRUE,TRUE,3.5,FALSE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Dual Heritage - Black/White,Kinship,TRUE,FALSE,TRUE
13,Trans Female,White - British,0,TRUE,15,55,Fostering - Short Term,7,1,24/06/2022 00:00,Carer requests placement end due to child's behaviour,171,1,Trans Female,TRUE,TRUE,0.56,FALSE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Gypsy / Roma,Kinship,TRUE,TRUE,TRUE
14,Non binary,Mixed - White/Black Caribbean,0,TRUE,15,49,Kinship,5,1,30/06/2022 00:00,Planned move to long-term fostering,347,1,Male,TRUE,TRUE,1.47,FALSE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,White - Other,Kinship,TRUE,TRUE,FALSE
10,Trans Female,Asian/British Asian - Pakistani,0,TRUE,13,26,Kinship,3,1,23/01/2022 00:00,Child requests placement end,810,1,Male,FALSE,FALSE,1.99,TRUE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,White - Other,Kinship,FALSE,FALSE,TRUE
7,Female,White - British,0,TRUE,14,40,Kinship,0,1,05/10/2022 00:00,Carer requests placement end due to child's behaviour,648,1,Female,TRUE,TRUE,1.21,FALSE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Other,Kinship,FALSE,FALSE,TRUE
7,Male,White - British,0,FALSE,13,38,Kinship,5,1,02/08/2022 00:00,N/A,130,1,Female,TRUE,FALSE,4.32,TRUE,N/A,8,N/A,0,including Mainstream,Gypsy / Roma,Kinship,TRUE,FALSE,TRUE
6,Female,Asian/British Asian - Pakistani,0,FALSE,11,32,Kinship,3,1,20/02/2024 00:00,N/A,36,1,Female,TRUE,FALSE,3.55,FALSE,N/A,7,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,FALSE,TRUE,FALSE
9,Male,Mixed - White/Asian,0,FALSE,15,72,Kinship,7,1,08/08/2025 00:00,N/A,7,1,Male,TRUE,TRUE,0.85,TRUE,N/A,3,N/A,0,including Mainstream,Asian/British Asian - Indian,Kinship,FALSE,FALSE,TRUE
15,Female,Asian/British Asian - Pakistani,0,TRUE,17,56,Fostering - Short Term,2,1,07/06/2025 00:00,Carer requests placement end due to child's behaviour,934,1,Female,TRUE,TRUE,6.46,TRUE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Black African,Short Term Foster,TRUE,TRUE,FALSE
8,Non binary,Black/Black British - African,0,TRUE,9,46,Kinship,7,1,04/07/2022 00:00,Allegation (S47),423,1,Trans Male,TRUE,FALSE,1.77,TRUE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Traveller - Other,Kinship,TRUE,TRUE,TRUE
6,Male,Asian/British Asian - Pakistani,0,TRUE,8,49,Fostering - Short Term,5,1,16/08/2023 00:00,Approval removed,907,1,Male,TRUE,FALSE,1.62,FALSE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Bangladeshi,Kinship,TRUE,FALSE,FALSE
7,Female,Asian/British Asian - Pakistani,0,FALSE,17,67,Fostering - Short Term,4,1,17/07/2025 00:00,N/A,753,1,Female,TRUE,FALSE,3.73,FALSE,N/A,2,N/A,0,including Mainstream,Asian/British Asian - Bangladeshi,Short Term Foster,FALSE,FALSE,TRUE
7,Male,White - Other,0,TRUE,14,41,Kinship,7,1,22/06/2022 00:00,Carer requests placement end due to child's behaviour,885,1,Male,TRUE,FALSE,12.53,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,White - British,Short Term Foster,FALSE,TRUE,TRUE
13,Female,White - British,0,TRUE,16,42,Kinship,3,1,06/11/2022 00:00,Allegation (S47),447,1,Trans Female,TRUE,TRUE,2.03,FALSE,Why the child left care entirely,4,Any additional context and comments about the child's care history,0,including Mainstream,White - Irish,Kinship,FALSE,FALSE,FALSE
5,Trans Male,Asian/British Asian - Other,0,FALSE,18,56,Residential,3,1,05/02/2024 00:00,N/A,916,1,Male,TRUE,FALSE,90.09,TRUE,N/A,8,N/A,0,including Mainstream,Asian/British Asian - Chinese,Residential,FALSE,TRUE,FALSE
9,Trans Female,White - Other,0,FALSE,16,39,Fostering - Short Term,2,1,01/07/2025 00:00,N/A,52,1,Female,TRUE,FALSE,4.08,TRUE,N/A,3,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Short Term Foster,TRUE,FALSE,FALSE
13,Trans Female,Asian/British Asian - Pakistani,0,TRUE,18,25,Fostering - Short Term,1,1,13/03/2022 00:00,Planned move to long-term fostering,131,1,Female,TRUE,TRUE,4.56,TRUE,Why the child left care entirely,4,Any additional context and comments about the child's care history,0,including Mainstream,Traveller of Irish Heritage,Short Term Foster,TRUE,TRUE,TRUE
16,Non binary,White - Eastern European,0,FALSE,17,65,Kinship,4,1,22/08/2025 00:00,N/A,686,1,Trans Male,TRUE,FALSE,1.32,FALSE,N/A,2,N/A,0,including Mainstream,Mixed - White/Asian,Kinship,TRUE,TRUE,FALSE
4,Female,Asian/British Asian - Pakistani,0,FALSE,15,31,Kinship,0,1,13/11/2022 00:00,N/A,888,1,Male,TRUE,TRUE,0.39,FALSE,N/A,2,N/A,0,including Mainstream,Mixed - Other,Kinship,TRUE,TRUE,FALSE
11,Male,Asian/British Asian - Pakistani,0,FALSE,17,62,Kinship,4,1,03/07/2022 00:00,N/A,330,1,Male,TRUE,TRUE,1.23,FALSE,N/A,3,N/A,0,including Mainstream,Gypsy / Roma,Kinship,FALSE,TRUE,TRUE
16,Male,White - British,0,FALSE,17,36,Kinship,3,1,10/03/2022 00:00,N/A,409,1,Female,TRUE,FALSE,1.78,FALSE,N/A,3,N/A,0,including Mainstream,Other Ethnic Group,Kinship,TRUE,FALSE,TRUE
5,Trans Male,White - Eastern European,0,FALSE,11,44,Kinship,3,1,10/11/2022 00:00,N/A,431,1,Trans Male,TRUE,FALSE,3.96,FALSE,N/A,8,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,TRUE,FALSE,TRUE
1,Female,White - British,0,TRUE,10,51,Fostering - Short Term,2,1,23/10/2022 00:00,Carer requests placement end due to child's behaviour,976,1,Male,TRUE,FALSE,4.27,TRUE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,Traveller - Other,Kinship,FALSE,FALSE,FALSE
10,Trans Male,Asian/British Asian - Pakistani,0,TRUE,13,50,Fostering - Short Term,7,1,04/07/2025 00:00,Allegation (S47),414,1,Male,TRUE,TRUE,7.41,FALSE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Black Caribbean,Special Guardianship,TRUE,FALSE,TRUE
7,Female,White - British,0,FALSE,9,65,Fostering - Emergency,3,1,06/02/2022 00:00,N/A,809,1,Female,TRUE,FALSE,13.1,FALSE,N/A,8,N/A,0,including Mainstream,Black/Black British - Other,Emergency Foster,TRUE,TRUE,TRUE
10,Trans Female,Black/Black British - African,0,FALSE,18,47,Kinship,4,1,24/05/2023 00:00,N/A,694,1,Female,TRUE,FALSE,0.16,FALSE,N/A,1,N/A,0,including Mainstream,Black/Black British - Caribbean,Kinship,FALSE,FALSE,FALSE
2,Female,White - British,0,TRUE,17,38,Kinship,1,1,22/09/2022 00:00,Child requests placement end,157,1,Female,TRUE,FALSE,2.02,TRUE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Gypsy / Roma,Kinship,FALSE,FALSE,TRUE
9,Male,Other Ethnic Group,0,FALSE,18,25,Kinship,5,1,05/02/2023 00:00,N/A,181,1,Female,TRUE,FALSE,0.02,FALSE,N/A,4,N/A,0,including Mainstream,Asian/British Asian - Other,Kinship,TRUE,FALSE,TRUE
14,Female,Asian/British Asian - Bangladeshi,0,TRUE,17,27,Fostering - Short Term,7,1,06/10/2022 00:00,Carer requests placement end due to child's behaviour,134,1,Trans Female,TRUE,FALSE,12.56,TRUE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Black/Black British - Caribbean,Short Term Foster,FALSE,FALSE,FALSE
5,Trans Female,White - British,0,FALSE,6,66,Kinship,6,1,02/05/2024 00:00,N/A,31,1,Female,TRUE,FALSE,1.41,TRUE,N/A,8,N/A,0,including Mainstream,White - Other,Kinship,TRUE,FALSE,FALSE
5,Female,White - British,0,FALSE,10,41,Kinship,4,1,01/03/2024 00:00,N/A,125,1,Trans Male,TRUE,FALSE,1.65,TRUE,N/A,6,N/A,0,including Mainstream,Gypsy / Roma,Kinship,TRUE,FALSE,TRUE
9,Female,Asian/British Asian - Pakistani,0,TRUE,17,73,Fostering - Short Term,5,1,12/07/2023 00:00,Approval removed,4,1,Male,TRUE,TRUE,1.66,FALSE,Why the child left care entirely,8,Any additional context and comments about the child's care history,0,including Mainstream,Black/Black British - Other,Kinship,FALSE,FALSE,TRUE
2,Male,White - Other,0,TRUE,17,40,Kinship,0,1,08/10/2023 00:00,Planned move to long-term fostering,534,1,Trans Female,TRUE,FALSE,2.46,TRUE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,FALSE,TRUE,TRUE
14,Male,White - British,0,FALSE,18,69,Kinship,0,1,21/02/2022 00:00,N/A,69,1,Female,TRUE,TRUE,4,TRUE,N/A,6,N/A,0,including Mainstream,Asian/British Asian - Indian,Kinship,FALSE,FALSE,TRUE
6,Male,White - British,0,TRUE,10,68,Kinship,0,1,15/11/2022 00:00,Child requests placement end,892,1,Female,TRUE,FALSE,2.83,TRUE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Bangladeshi,Kinship,TRUE,FALSE,FALSE
7,Female,White - Central European,0,TRUE,14,65,Kinship,0,1,15/03/2023 00:00,Allegation (S47),239,1,Female,TRUE,TRUE,4.83,FALSE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,TRUE,TRUE,FALSE
5,Male,White - British,0,FALSE,15,66,Fostering - Short Term,1,1,21/03/2022 00:00,N/A,138,1,Female,TRUE,TRUE,5.39,TRUE,N/A,7,N/A,0,including Mainstream,White - Eastern European,Short Term Foster,TRUE,FALSE,TRUE
15,Male,Asian/British Asian - Pakistani,0,TRUE,18,64,Adoption,7,1,16/12/2023 00:00,Child requests placement end,128,1,Female,TRUE,FALSE,21.46,TRUE,Why the child left care entirely,8,Any additional context and comments about the child's care history,0,including Mainstream,White - British,Adoption,FALSE,TRUE,TRUE
4,Male,White - British,0,TRUE,16,33,Kinship,5,1,14/08/2024 00:00,Allegation (S47),7,1,Trans Male,TRUE,FALSE,2.93,FALSE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Black African,Long Term Foster,TRUE,TRUE,FALSE
14,Female,White - British,0,TRUE,18,35,Kinship,6,1,14/06/2024 00:00,Child requests placement end,4,1,Trans Female,TRUE,FALSE,0.97,FALSE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Gypsy / Roma,Kinship,TRUE,FALSE,FALSE
2,Male,Asian/British Asian - Indian,0,FALSE,4,47,Kinship,1,1,11/09/2022 00:00,N/A,550,1,Female,TRUE,TRUE,0.16,FALSE,N/A,2,N/A,0,including Mainstream,Gypsy / Roma,Kinship,TRUE,FALSE,TRUE
8,Female,White - British,0,FALSE,10,58,Kinship,6,1,19/09/2024 00:00,N/A,250,1,Trans Male,TRUE,FALSE,2.54,TRUE,N/A,7,N/A,0,including Mainstream,Gypsy,Kinship,FALSE,FALSE,TRUE
16,Male,White - British,0,TRUE,18,57,Fostering - Short Term,1,1,03/04/2025 00:00,Approval removed,141,1,Trans Female,TRUE,FALSE,0.77,FALSE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Traveller - Other,Kinship,TRUE,TRUE,TRUE
6,Male,White - British,0,TRUE,12,33,Fostering - Short Term,3,1,30/09/2025 00:00,Carer requests placement end due to child's behaviour,3,1,Male,FALSE,FALSE,3.49,TRUE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Black Caribbean,Kinship,TRUE,FALSE,TRUE
17,Trans Female,Asian/British Asian - Pakistani,0,TRUE,18,55,Kinship,2,1,26/11/2023 00:00,Allegation (S47),189,1,Non binary,TRUE,TRUE,9.26,FALSE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Chinese,Adoption,FALSE,FALSE,FALSE
14,Male,Asian/British Asian - Pakistani,0,TRUE,18,31,Kinship,5,1,15/04/2024 00:00,Allegation (S47),2,1,Trans Male,TRUE,TRUE,12.34,FALSE,Why the child left care entirely,6,Any additional context and comments about the child's care history,0,including Mainstream,Black/Black British - Caribbean,Special Guardianship,FALSE,TRUE,FALSE
12,Male,White - British,0,TRUE,18,51,Kinship,3,1,13/01/2025 00:00,Carer requests placement end due to child's behaviour,974,1,Male,TRUE,FALSE,18.12,FALSE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - Other,Short Term Foster,FALSE,TRUE,TRUE
14,Male,Asian/British Asian - Pakistani,0,TRUE,18,38,Kinship,1,1,31/01/2025 00:00,Planned move to long-term fostering,7,1,Trans Female,TRUE,FALSE,0.67,FALSE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Other,Kinship,FALSE,TRUE,FALSE
10,Male,Asian/British Asian - Other,0,TRUE,18,74,Fostering - Short Term,6,1,11/12/2023 00:00,Allegation (S47),137,1,Non binary,TRUE,TRUE,4.32,TRUE,Why the child left care entirely,2,Any additional context and comments about the child's care history,0,including Mainstream,Dual Heritage - Black/White,Short Term Foster,TRUE,TRUE,TRUE
4,Male,Asian/British Asian - Pakistani,0,FALSE,18,40,Kinship,1,1,19/09/2025 00:00,N/A,859,1,Trans Male,TRUE,TRUE,0.85,FALSE,N/A,0,N/A,0,including Mainstream,Mixed - White/Asian,Kinship,FALSE,FALSE,TRUE
2,Male,White - British,0,FALSE,11,61,Fostering - Short Term,3,1,19/08/2023 00:00,N/A,35,1,Male,FALSE,FALSE,15.1,FALSE,N/A,0,N/A,0,including Mainstream,Traveller of Irish Heritage,Short Term Foster,FALSE,FALSE,FALSE
4,Female,White - British,0,FALSE,7,52,Kinship,0,1,16/06/2022 00:00,N/A,4,1,Male,TRUE,FALSE,2.63,FALSE,N/A,7,N/A,0,including Mainstream,Black/Black British - African,Kinship,FALSE,FALSE,FALSE
14,Female,Asian/British Asian - Indian,0,FALSE,16,28,Kinship,5,1,04/11/2023 00:00,N/A,609,1,Trans Female,TRUE,TRUE,3.76,TRUE,N/A,6,N/A,0,including Mainstream,Other Ethnic Group,Kinship,FALSE,FALSE,FALSE
0,Female,White - British,0,FALSE,5,53,Fostering - Emergency,4,1,15/02/2022 00:00,N/A,891,1,Male,TRUE,FALSE,17.1,TRUE,N/A,7,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Emergency Foster,FALSE,FALSE,TRUE
0,Female,Asian/British Asian - Pakistani,0,TRUE,8,42,Fostering - Short Term,6,1,01/04/2025 00:00,Allegation (S47),938,1,Female,TRUE,FALSE,7.66,FALSE,Why the child left care entirely,8,Any additional context and comments about the child's care history,0,including Mainstream,Gypsy / Roma,Adoption,FALSE,FALSE,TRUE
17,Male,White - British,0,TRUE,18,62,Kinship,4,1,22/07/2024 00:00,Planned move to long-term fostering,64,1,Female,FALSE,FALSE,2.57,TRUE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,TRUE,FALSE,TRUE
9,Trans Female,White - British,0,TRUE,18,61,Kinship,2,1,30/05/2023 00:00,Planned move to long-term fostering,221,1,Non binary,FALSE,FALSE,4.07,TRUE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,White - British,Kinship,FALSE,FALSE,TRUE
14,Male,White - Eastern European,0,FALSE,16,46,Kinship,1,1,30/06/2024 00:00,N/A,633,1,Female,FALSE,FALSE,1.45,TRUE,N/A,0,N/A,0,including Mainstream,Mixed - Other,Kinship,TRUE,FALSE,FALSE
6,Female,White - British,0,FALSE,11,56,Adoption,2,1,05/01/2025 00:00,N/A,145,1,Male,TRUE,FALSE,5.4,FALSE,N/A,3,N/A,0,including Mainstream,White - British,Adoption,TRUE,FALSE,TRUE
11,Male,White - British,0,FALSE,12,72,Kinship,3,1,17/01/2022 00:00,N/A,4,1,Female,TRUE,FALSE,0.02,TRUE,N/A,1,N/A,0,including Mainstream,White - Eastern European,Kinship,FALSE,FALSE,FALSE
5,Female,Asian/British Asian - Pakistani,0,TRUE,16,58,Kinship,7,1,25/12/2023 00:00,Allegation (S47),76,1,Male,TRUE,FALSE,5.06,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Other Ethnic Group,Special Guardianship,TRUE,FALSE,FALSE
8,Female,White - Central European,0,FALSE,18,41,Kinship,6,1,20/09/2022 00:00,N/A,197,1,Male,TRUE,TRUE,0.05,FALSE,N/A,8,N/A,0,including Mainstream,Traveller of Irish Heritage,Kinship,TRUE,FALSE,TRUE
6,Male,White - British,0,FALSE,9,58,Fostering - Short Term,1,1,02/06/2022 00:00,N/A,175,1,White - British,TRUE,TRUE,10.46,TRUE,N/A,4,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Short Term Foster,FALSE,FALSE,TRUE
17,Female,Mixed - White/Asian,0,TRUE,18,57,Kinship,0,1,18/04/2023 00:00,Allegation (S47),583,1,Trans Male,TRUE,FALSE,3.81,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,FALSE,TRUE,FALSE
9,Female,Gypsy / Roma,0,FALSE,11,56,Kinship,5,1,16/01/2024 00:00,N/A,191,1,Non binary,TRUE,FALSE,3.37,TRUE,N/A,8,N/A,0,including Mainstream,Other Ethnic Group,Kinship,FALSE,FALSE,FALSE
1,Female,Asian/British Asian - Pakistani,0,FALSE,15,39,Kinship,0,1,25/04/2022 00:00,N/A,552,1,Non binary,FALSE,TRUE,2.08,TRUE,N/A,1,N/A,0,including Mainstream,Mixed - White/Asian,Kinship,TRUE,FALSE,TRUE
11,Female,Asian/British Asian - Pakistani,0,FALSE,16,43,Kinship,6,1,10/07/2023 00:00,N/A,1,1,Female,TRUE,TRUE,2.86,TRUE,N/A,6,N/A,0,including Mainstream,White - British,Kinship,TRUE,FALSE,FALSE
15,Female,Asian/British Asian - Pakistani,0,FALSE,16,64,Kinship,0,1,04/04/2024 00:00,N/A,671,1,Trans Female,FALSE,FALSE,4.26,FALSE,N/A,1,N/A,0,including Mainstream,Other Ethnic Group,Kinship,TRUE,FALSE,FALSE
7,Non binary,Asian/British Asian - Pakistani,0,FALSE,10,27,Residential,5,1,09/03/2023 00:00,N/A,178,1,Male,TRUE,FALSE,59.81,FALSE,N/A,5,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Residential,TRUE,TRUE,TRUE
4,Trans Male,Black/Black British - African,0,FALSE,17,56,Kinship,1,1,18/06/2022 00:00,N/A,697,1,Female,TRUE,TRUE,0.47,FALSE,N/A,3,N/A,0,including Mainstream,Mixed - White/Black African,Kinship,TRUE,FALSE,FALSE
14,Trans Female,White - Eastern European,0,FALSE,18,72,Kinship,1,1,02/02/2024 00:00,N/A,106,1,Female,TRUE,TRUE,4.48,FALSE,N/A,4,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,TRUE,FALSE,TRUE
12,Trans Male,White - British,0,FALSE,14,38,Kinship,0,1,20/09/2025 00:00,N/A,5,1,Male,TRUE,FALSE,1.79,TRUE,N/A,8,N/A,0,including Mainstream,Mixed - Other,Kinship,TRUE,FALSE,TRUE
7,Female,Asian/British Asian - Pakistani,0,FALSE,14,39,Kinship,1,1,22/01/2022 00:00,N/A,7,1,Female,TRUE,FALSE,0.28,FALSE,N/A,1,N/A,0,including Mainstream,White - British,Kinship,TRUE,FALSE,FALSE
0,Male,White - British,0,TRUE,17,31,Kinship,6,1,12/02/2024 00:00,Allegation (S47),5,1,Male,TRUE,TRUE,1.63,TRUE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Asian,Kinship,TRUE,FALSE,FALSE
1,Male,White - British,0,FALSE,17,47,Kinship,0,1,15/02/2022 00:00,N/A,566,1,Female,TRUE,TRUE,2.69,TRUE,N/A,5,N/A,0,including Mainstream,Dual Heritage - Black/White,Kinship,FALSE,TRUE,TRUE
8,Trans Male,White - British,0,TRUE,11,41,Fostering - Short Term,4,1,22/10/2025 00:00,Carer requests placement end due to child's behaviour,697,1,Male,TRUE,FALSE,1.58,TRUE,Why the child left care entirely,2,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Chinese,Kinship,TRUE,FALSE,FALSE
10,Trans Male,Asian/British Asian - Bangladeshi,0,TRUE,12,75,Kinship,5,1,05/02/2025 00:00,Allegation (S47),130,1,Trans Female,TRUE,FALSE,1.08,TRUE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Gypsy,Kinship,FALSE,TRUE,FALSE
0,Female,White - British,0,TRUE,1,38,Kinship,5,1,12/03/2025 00:00,Carer requests placement end due to child's behaviour,957,1,Trans Female,TRUE,TRUE,21.65,FALSE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Asian,Residential,TRUE,TRUE,TRUE
13,Female,White - British,0,FALSE,16,50,Kinship,4,1,03/02/2024 00:00,N/A,83,1,Trans Male,TRUE,FALSE,2.93,FALSE,N/A,8,N/A,0,including Mainstream,White - British,Kinship,FALSE,TRUE,TRUE
7,Female,White - British,0,TRUE,12,59,Kinship,5,1,05/05/2025 00:00,Allegation (S47),75,1,Trans Female,TRUE,FALSE,8.76,FALSE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Gypsy,Long Term Foster,TRUE,FALSE,FALSE
13,Male,White - British,0,FALSE,14,32,Residential,0,1,04/06/2022 00:00,N/A,59,1,Male,TRUE,FALSE,30.55,FALSE,N/A,4,N/A,0,including Mainstream,Mixed - White/Asian,Residential,TRUE,FALSE,TRUE
15,Male,Asian/British Asian - Bangladeshi,0,TRUE,18,47,Fostering - Short Term,4,1,10/10/2022 00:00,Allegation (S47),483,1,Female,TRUE,TRUE,11.69,FALSE,Why the child left care entirely,8,Any additional context and comments about the child's care history,0,including Mainstream,Gypsy / Roma,Short Term Foster,TRUE,FALSE,FALSE
16,Male,Asian/British Asian - Pakistani,0,FALSE,17,54,Kinship,5,1,30/10/2025 00:00,N/A,97,1,Trans Female,FALSE,TRUE,2.29,FALSE,N/A,1,N/A,0,including Mainstream,White - British,Kinship,FALSE,FALSE,TRUE
11,Male,Asian/British Asian - Pakistani,0,FALSE,13,66,Kinship,3,1,25/04/2024 00:00,N/A,855,1,Male,TRUE,FALSE,1.12,TRUE,N/A,3,N/A,0,including Mainstream,Black/Black British - Other,Kinship,TRUE,TRUE,TRUE
15,Female,Asian/British Asian - Pakistani,0,TRUE,18,66,Kinship,5,1,29/05/2024 00:00,Child requests placement end,35,1,Female,TRUE,TRUE,4.8,TRUE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Indian,Kinship,TRUE,FALSE,TRUE
6,Female,Asian/British Asian - Pakistani,0,FALSE,13,65,Kinship,3,1,05/10/2024 00:00,N/A,717,1,Male,TRUE,TRUE,3.4,FALSE,N/A,0,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Kinship,FALSE,FALSE,FALSE
2,Female,White - British,0,FALSE,15,54,Fostering - Short Term,7,1,15/01/2023 00:00,N/A,341,1,Female,FALSE,TRUE,16.53,FALSE,N/A,0,N/A,0,including Mainstream,White - British,Short Term Foster,TRUE,FALSE,TRUE
2,Male,White - British,0,TRUE,3,68,Kinship,7,1,24/12/2023 00:00,Planned move to long-term fostering,159,1,Non binary,TRUE,TRUE,2.84,TRUE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,White - Eastern European,Kinship,FALSE,FALSE,TRUE
12,Female,White - British,0,FALSE,15,41,Kinship,6,1,25/06/2024 00:00,N/A,265,1,Female,TRUE,TRUE,0.89,FALSE,N/A,6,N/A,0,including Mainstream,White - British,Kinship,FALSE,TRUE,FALSE
8,Female,White - British,0,TRUE,18,35,Adoption,3,1,13/11/2023 00:00,Child requests placement end,492,1,Male,TRUE,TRUE,18.77,FALSE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,White - Eastern European,Adoption,FALSE,FALSE,FALSE
14,Male,White - British,0,TRUE,17,47,Kinship,1,1,17/04/2022 00:00,Planned move to long-term fostering,413,1,Female,TRUE,TRUE,2.79,FALSE,Why the child left care entirely,7,Any additional context and comments about the child's care history,0,including Mainstream,Traveller of Irish Heritage,Kinship,FALSE,FALSE,FALSE
17,Trans Male,White - British,0,TRUE,18,62,Fostering - Short Term,6,1,23/07/2023 00:00,Approval removed,396,1,Trans Male,FALSE,FALSE,12.02,FALSE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Other,Short Term Foster,TRUE,FALSE,FALSE
15,Female,Asian/British Asian - Pakistani,0,TRUE,18,70,Fostering - Short Term,5,1,10/02/2023 00:00,Approval removed,126,1,Male,TRUE,FALSE,5.04,TRUE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - White/Asian,Short Term Foster,TRUE,TRUE,TRUE
9,Female,Mixed - White/Asian,0,FALSE,15,32,Fostering - Short Term,1,1,26/03/2025 00:00,N/A,519,1,Male,TRUE,FALSE,8.44,TRUE,N/A,2,N/A,0,including Mainstream,Asian/British Asian - Pakistani,Short Term Foster,FALSE,TRUE,FALSE
